Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Nurse,Healthcare,Stable,Low,90066,Bachelor,3,2324,3838,14,14,Bengaluru,50
Factory Worker,Manufacturing,Declining,High,50456,High School,1,5006,4055,25,89,Hyderabad,10
Cybersecurity Analyst,Technology,Active,Moderate,75335,Bachelor,3,2786,3740,62,24,Mumbai,32
Nurse,Healthcare,Stable,Low,63175,Bachelor,3,12635,17291,45,7,Jaipur,46
Software Engineer,Technology,Active,High,94806,Bachelor,3,10174,7916,59,42,Kolkata,50
Data Scientist,Technology,Active,High,115466,Master,2,988,1327,67,26,Mumbai,23
Cybersecurity Analyst,Technology,Active,Moderate,97381,Bachelor,1,4311,5492,73,37,Jaipur,26
Doctor,Healthcare,Stable,Low,145800,Doctorate,9,934,1253,25,10,Jaipur,13
Cybersecurity Analyst,Technology,Active,Moderate,98694,Bachelor,3,12231,9519,80,37,Jaipur,61
Customer Support Executive,Services,Declining,Moderate,43623,Bachelor,1,4111,3211,23,82,Ahmedabad,62
Doctor,Healthcare,Stable,Low,169649,Doctorate,7,5057,6370,56,1,Bengaluru,60
Mechanical Engineer,Manufacturing,Stable,Moderate,93202,Bachelor,2,13702,19364,33,42,Delhi,72
Factory Worker,Manufacturing,Declining,High,44806,High School,4,7424,7525,27,87,Pune,19
Accountant,Finance,Active,Moderate,78756,Bachelor,4,3047,2816,35,86,Hyderabad,35
Mechanical Engineer,Manufacturing,Stable,Moderate,81268,Bachelor,3,6014,9801,44,49,Mumbai,49
Software Engineer,Technology,Active,High,114151,Bachelor,5,6724,11937,73,29,Mumbai,39
Cashier,Retail,Declining,Moderate,28588,High School,0,14385,16541,0,94,Pune,37
Doctor,Healthcare,Stable,Low,173754,Doctorate,8,4833,6194,32,23,Bengaluru,48
Factory Worker,Manufacturing,Declining,High,46390,High School,1,8027,10254,34,74,Jaipur,25
Software Engineer,Technology,Active,High,96897,Bachelor,3,6701,8732,62,33,Mumbai,50
Teacher,Education,Stable,Low,54770,Master,3,5303,7893,48,15,Noida,31
Research Scientist,Research,Active,Low,152988,Doctorate,5,14618,21324,59,14,Pune,84
Doctor,Healthcare,Stable,Low,158604,Doctorate,7,3650,2822,65,14,Mumbai,45
Data Scientist,Technology,Active,High,119516,Master,4,11334,10502,47,12,Hyderabad,72
Mechanical Engineer,Manufacturing,Stable,Moderate,81540,Bachelor,3,5241,8515,28,44,Mumbai,63
HR Manager,Corporate,Active,Moderate,90369,MBA,7,4314,4010,80,34,Mumbai,59
Customer Support Executive,Services,Declining,Moderate,34062,Bachelor,0,5054,6106,46,89,Ahmedabad,49
Nurse,Healthcare,Stable,Low,93643,Bachelor,4,14166,22658,13,2,Pune,56
AI Engineer,Technology,Active,High,119210,Master,6,6565,7906,83,25,Pune,52
