Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Investment analyst,IT,Active,Moderate,42109.76,Master,5,1515,6342,55.96,28.28,UK,44.63
"Journalist, newspaper",Manufacturing,Active,Moderate,132298.57,Master,15,1243,6205,16.81,89.71,USA,66.39
Financial planner,Finance,Active,Low,143279.19,Bachelor,4,3338,1154,91.82,72.97,Canada,41.13
Legal secretary,Healthcare,Active,High,97576.13,Associate Degree,15,7173,4060,1.89,99.94,Australia,65.76
Aeronautical engineer,IT,Active,Low,60956.63,Master,13,5944,7396,53.76,37.65,Germany,72.57
Legal secretary,Education,Declining,Low,39123.32,Master,20,6985,7832,77.5,28.99,USA,46.91
"Surveyor, insurance",Manufacturing,Declining,High,147150.03,High School,7,9738,4360,30.51,7.08,UK,20.14
Dentist,Entertainment,Declining,High,64245.48,Associate Degree,0,1393,8206,9.74,2.49,Canada,59.27
Emergency planning/management officer,Education,Active,High,72488.15,High School,12,7729,4452,38.77,99.56,Australia,60.56
Visual merchandiser,Manufacturing,Declining,Moderate,95840.3,Associate Degree,16,1127,2375,4.29,69.03,China,48.19
Emergency planning/management officer,Manufacturing,Active,Moderate,97133.62,Bachelor,17,4627,1684,89.49,43.94,China,34.83
Housing manager/officer,Entertainment,Declining,High,114672.3,High School,12,2800,7964,94.02,20.19,UK,31.9
"Geologist, wellsite",Entertainment,Active,Moderate,116427.68,Doctorate,7,1852,3700,32.89,5.54,Australia,56.02
"Runner, broadcasting/film/video",Healthcare,Declining,Moderate,43059.04,Doctorate,2,1824,7625,55.6,13.12,Australia,27.5
Press photographer,Entertainment,Declining,Moderate,137894.14,Master,3,8312,9700,59.95,95.76,India,56.06
"Biochemist, clinical",Entertainment,Active,Moderate,67908.84,Master,2,1872,5314,93.9,3.19,China,74.67
Town planner,Retail,Declining,High,107318.63,Associate Degree,11,7251,1090,15.25,55.15,UK,23.99
